CourseID,ActionNumber, ActionDescription,Notes
Economics,2,Complete supplementary problem sets and case studies,Apply economic principles to real-world scenarios
Economics,3,Write economic analysis paper on assigned topic,Demonstrate understanding of economic theory and application
Economics,4,Pass comprehensive economics examination,Test on microeconomics macroeconomics and analytical skills
Biology,1,Review biological concepts and scientific method,Focus on weak areas such as cell biology genetics or ecology
Biology,2,Complete makeup laboratory work and reports,Redo failed experiments with proper documentation
Biology,3,Study supplementary materials and complete practice tests,Use textbook online resources and study guides
Biology,4,Pass comprehensive written and practical exam,Includes multiple choice short answer and lab practical
Database Systems,1,Review database fundamentals and relational theory,Study SQL normalization and database design principles
Database Systems,2,Complete SQL coding exercises and queries,Practice complex queries joins and database operations
Database Systems,3,Design and implement database project,Create normalized database schema with working application
Database Systems,4,Pass practical database exam,Write complex SQL queries and explain database design decisions
Algorithms,1,Review algorithm analysis and complexity theory,Study Big O notation sorting searching and graph algorithms
Algorithms,2,Complete algorithm implementation exercises,Code key algorithms and analyze their performance
Algorithms,3,Solve challenging algorithmic problems,Practice competitive programming style problems
Algorithms,4,Pass comprehensive algorithms exam,Includes algorithm design analysis and coding implementation
Statistics,1,Complete diagnostic test on statistical concepts,Identify weak areas in probability distributions and hypothesis testing
Statistics,2,Work through guided problem sets with tutor,Practice statistical calculations and interpretation
Statistics,3,Complete data analysis project with report,Use statistical software to analyze dataset and draw conclusions
Statistics,4,Pass comprehensive statistics exam,Includes probability theory statistical tests and data interpretation
