id,course_id,instructor_id,action_number,title,description,is_active,have_grade
19,C109,I002,1,SDLC Fundamentals,"Review software development lifecycle lectures including Agile,false,false
20,C109,I002,2,Requirements Documentation,"Create requirements document for a sample project including functional and non-functional requirements",true,true
21,C109,I002,3,Design Patterns Study,"Study and document 5 common design patterns with real-world examples and implementation code",true,false
22,C109,I002,4,Group Project Recovery,"Join recovery group to complete scaled-down version of main class project. Document contributions",true,true
23,C109,I002,5,Presentation,"Present your group project to instructor and explain your role,false,false
24,C111,I005,1,SQL Fundamentals Review,"Complete online SQL tutorial covering SELECT,false,false
25,C111,I005,2,Database Design Exercise,"Design normalized database schema for given business scenario. Submit ERD and normalization explanation",true,true
26,C111,I005,3,Query Writing Practice,"Complete 30 SQL query exercises of increasing difficulty. Must achieve 80% accuracy",true,true
27,C111,I005,4,Practical Project,"Build small database application with CRUD operations. Submit code and demonstration video",true,true
28,C113,I003,1,Data Structures Basics,"Review lectures on arrays,false,false
29,C113,I003,2,Implementation Exercises,"Implement each basic data structure from scratch in Java. Include unit tests",true,true
30,C113,I003,3,Advanced Structures,"Study and implement trees,false,false
31,C113,I003,4,Algorithm Practice,"Solve 25 LeetCode-style problems using appropriate data structures. Document approach",true,true
32,C113,I003,5,Final Project,"Complete data structures project: implement a text editor using appropriate data structures",true,true
33,C120,I005,1,ML Fundamentals,"Watch lecture series on regression,false,false
34,C120,I005,2,Python ML Libraries,"Complete tutorials on NumPy,false,false
35,C120,I005,3,Dataset Analysis,"Analyze provided dataset using exploratory data analysis techniques. Create visualizations",true,true
36,C120,I005,4,Model Building,"Build and train three different ML models. Compare performance metrics",true,true
37,C120,I005,5,Research Presentation,"Present findings from your analysis and model comparison. Explain methodology",true,true
38,C122,I003,1,Calculus Review,"Review differential and integral calculus concepts from chapters 8-12",true,false
39,C122,I003,2,Problem Sets,"Complete 5 problem sets covering derivatives,false,false
40,C122,I003,3,Tutoring Sessions,"Attend 3 one-on-one tutoring sessions to address specific problem areas",true,false
41,C122,I003,4,Makeup Midterm,"Take makeup examination covering all review material. 2-hour timed exam",true,true
42,C127,I002,1,Historical Period Review,"Read assigned chapters on Renaissance,false,false
43,C127,I002,2,Primary Source Analysis,"Analyze 5 primary source documents and write analytical essays for each (500 words minimum)",true,true
44,C127,I002,3,Documentary Series,"Watch assigned documentary series and complete viewing guides with critical reflections",true,false
45,C127,I002,4,Research Essay,"Write 2000-word research essay on assigned historical topic. Include minimum 8 academic sources",true,true
46,C132,I003,1,Physics Fundamentals,"Review mechanics,false,false
47,C132,I003,2,Problem Solving Practice,"Complete 40 physics problems covering all missed topics. Show detailed solutions",true,true
48,C132,I003,3,Lab Report Submissions,"Submit makeup lab reports for 4 missed experiments with data analysis and conclusions",true,true
49,C132,I003,4,Concept Demonstrations,"Create video demonstrations explaining 3 complex physics concepts to peers",true,false
50,C132,I003,5,Comprehensive Assessment,"Take comprehensive recovery exam covering all physics topics. Minimum 75% required",true,true
51,C139,I005,1,Microeconomics Review,"Study supply/demand,false,false
52,C139,I005,2,Economic Analysis Problems,"Complete 15 economic analysis problems including graphing and calculations",true,true
53,C139,I005,3,Case Study Analysis,"Analyze real-world economic case study and write 1500-word analysis paper",true,true
54,C139,I005,4,Policy Brief,"Prepare economic policy brief on assigned topic. Include data visualization and recommendations",true,true
55,C142,I003,1,Network Fundamentals,"Review OSI model,false,false
56,C142,I003,2,Packet Tracer Labs,"Complete 5 Cisco Packet Tracer simulation labs on routing and switching",true,true
57,C142,I003,3,Network Design Project,"Design network architecture for small business scenario. Submit network diagram and documentation",true,true
58,C142,I003,4,Security Implementation,"Implement basic network security measures in simulation. Document configuration steps",true,true
59,C152,I005,1,Programming Fundamentals,"Review Python/Java basics: variables,false,false
60,C152,I005,2,Coding Exercises,"Complete 30 coding exercises on HackerRank covering basic programming concepts",true,true
61,C152,I005,3,Mini Projects,"Build 3 mini projects: calculator app,false,false
62,C152,I005,4,Code Review Session,"Participate in code review session. Present one project and review two peer projects",true,false
63,C152,I005,5,Final Programming Challenge,"Complete timed programming challenge with multiple problem-solving tasks",true,true
64,C170,I002,1,Descriptive Statistics,"Review measures of central tendency,false,false
65,C170,I002,2,Probability Theory,"Complete probability exercises including conditional probability and Bayes' theorem",true,true
66,C170,I002,3,Statistical Inference,"Study hypothesis testing,false,false
67,C170,I002,4,R Programming,"Learn R for statistical analysis. Complete 4 guided tutorials and exercises",true,true
68,C170,I002,5,Data Analysis Project,"Analyze real dataset using R. Create report with visualizations and statistical tests",true,true
69,C184,I004,1,Database Theory,"Review database concepts: ACID properties,false,false
70,C184,I004,2,Advanced SQL,"Practice complex queries including window functions,false,false
71,C184,I004,3,Database Administration,"Learn backup,false,false
72,C184,I004,4,Capstone Database Project,"Design and implement complete database system for business scenario. Full documentation required",true,true
73,C186,I004,1,Deep Learning Foundations,"Review neural networks,false,false
74,C186,I004,2,TensorFlow/PyTorch Tutorial,"Complete hands-on tutorials building CNNs and RNNs using deep learning frameworks",true,true
75,C186,I004,3,Model Training Project,"Train deep learning model on image classification task. Document hyperparameter tuning",true,true
76,C186,I004,4,Transfer Learning,"Implement transfer learning using pre-trained models. Compare results with training from scratch",true,true
77,C186,I004,5,Final Presentation,"Present your ML project results including methodology,false,false
79,C102,,5,Ethics Discussion Paper,"Write reflection paper on AI ethics topics discussed in class. Optional for extra credit",false,true
80,C122,,5,Applied Calculus Project,"Complete applied calculus project demonstrating real-world applications. Extra credit opportunity",false,false
1762665468925,C187,I001,1,FFF,ffff,true,false
1762669632547,C105,I001,2,ddd,dddd,true,false
